Location,Disturbance,start,end,Period.Year.Start,Cover_Start,Period.Year.End,Cover_End,relative.cover.percent,absolute.cover
Coculus Rock,SCTLD,2/26/20,12/14/20,2020.PostBL.start,9.71,2020.Annual.end,8.933333333,-8,-0.78
Coculus Rock,Diadema,10/19/21,10/4/22,2021.Annual.start,4.861666667,2022.Annual.end,5.971666667,22.83,1.11
Coculus Rock,BL23,10/13/23,4/26/24,2023.Annual.start,5.695,2024.PostBL.end,3.466666667,-39.13,-2.23
Coculus Rock,BL24,10/18/24,5/8/25,2024.Annual.start,4.656666667,2025.PostBL.end,4.268333333,-8.34,-0.39
College Shoal East,BL05,10/18/05,7/31/06,2005.PeakBL.start,39.43333333,2006.Annual.end,30.565,-22.49,-8.87
College Shoal East,SCTLD,12/5/18,3/2/20,2018.Annual.start,33.36833333,2020.PostBL.end,26.88333333,-19.43,-6.48
College Shoal East,BL23,12/6/23,5/14/24,2023.Annual.start,17.78833333,2024.PostBL.end,9.52,-46.48,-8.27
College Shoal East,BL24,11/21/24,4/8/25,2024.Annual.start,11.53,2025.PostBL.end,8.38,-27.32,-3.15
Coral Bay,Storm17,10/24/16,1/18/18,2016.Annual.start,21.98833333,2017.Annual.end,19.65333333,-10.62,-2.33
Coral Bay,SCTLD,2/24/20,10/19/21,2020.PostBL.start,13.90833333,2021.Annual.end,13.56,-2.5,-0.35
Coral Bay,Diadema,9/8/22,10/13/23,2022.Annual.start,10.93333333,2023.Annual.end,10.74333333,-1.74,-0.19
Coral Bay,BL23,10/13/23,2/16/24,2023.Annual.start,10.74333333,2024.PostBL.end,9.4,-12.5,-1.34
Coral Bay,BL24,10/24/24,5/8/25,2024.Annual.start,7.876666667,2025.PostBL.end,7.653333333,-2.84,-0.22
Eagle Ray,BL05,11/2/05,12/5/06,2005.PeakBL.start,12.71666667,2006.Annual.end,5.298333333,-58.34,-7.42
Eagle Ray,SCTLD,10/16/19,11/15/21,2019.Annual.start,7.238333333,2021.Annual.end,3.303333333,-54.36,-3.94
Eagle Ray,BL23,11/11/23,3/13/24,2023.Annual.start,3.716666667,2024.PostBL.end,3.065,-17.53,-0.65
