Location,Loc_Code,FilmDate,Disturbance,Loc_Disturbance,Bound,Notes,,,,,,,,,,,,,,,,,
Brewers Bay,BWR,2012-12-12,ID,BWR_ID,,,,,,,,,,,,,,,,,,,
Brewers Bay,BWR,2013-10-10,ID,BWR_ID,,,,,,,,,,,,,,,,,,,
Brewers Bay,BWR,2014-09-26,ID,BWR_ID,,,,,,,,,,,,,,,,,,,
Brewers Bay,BWR,2015-11-05,ID,BWR_ID,,,,,,,,,,,,,,,,,,,
Brewers Bay,BWR,2016-10-20,Storm17,BWR_Storm17,start,,,,,,,,,,,,,,,,,,
Brewers Bay,BWR,2017-11-28,Storm17,BWR_Storm17,end,,,,,,,,,,,,,,,,,,
Brewers Bay,BWR,2018-10-11,SCTLD,BWR_SCTLD,start,,,,,,,,,,,,,,,,,,
Brewers Bay,BWR,2019-02-11,SCTLD,BWR_SCTLD,interval,,,,,,,,,,,,,,,,,,
Brewers Bay,BWR,2019-08-22,SCTLD,BWR_SCTLD,interval,,,,,,,,,,,,,,,,,,
Brewers Bay,BWR,2019-10-29,SCTLD,BWR_SCTLD,end,,,,,,,,,,,,,,,,,,
Brewers Bay,BWR,2020-02-11,ID,BWR_ID,,,,,,,,,,,,,,,,,,,
Brewers Bay,BWR,2020-07-06,ID,BWR_ID,,,,,,,,,,,,,,,,,,,
Brewers Bay,BWR,2020-11-05,ID,BWR_ID,,,,,,,,,,,,,,,,,,,
Brewers Bay,BWR,2021-10-22,Diadema,BWR_Diadema,start,,,,,,,,,,,,,,,,,,
Brewers Bay,BWR,2022-09-28,Diadema,BWR_Diadema,end,,,,,,,,,,,,,,,,,,
Brewers Bay,BWR,2023-10-17,BL23,BWR_BL23,start,,,,,,,,,,,,,,,,,,
Brewers Bay,BWR,2024-04-11,BL23,BWR_BL23,end,,,,,,,,,,,,,,,,,,
Brewers Bay,BWR,2024-10-11,BL24,BWR_BL24,start,,,,,,,,,,,,,,,,,,
Brewers Bay,BWR,2025-03-26,BL24,BWR_BL24,end,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2005-05-12,ID,BIT_ID,,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2005-09-27,BL05,BIT_BL05,start,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2006-06-28,BL05,BIT_BL05,end,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2007-09-03,ID,BIT_ID,,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2008-07-25,ID,BIT_ID,,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2009-06-23,ID,BIT_ID,,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2010-10-25,ID,BIT_ID,,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2011-10-21,ID,BIT_ID,,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2012-12-16,ID,BIT_ID,,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2013-10-29,ID,BIT_ID,,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2014-09-30,ID,BIT_ID,,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2015-08-05,ID,BIT_ID,,,,,,,,,,,,,,,,,,,
Buck Island STT,BIT,2016-11-23,Storm17,BIT_Storm17,start,,,,,,,,,,,,,,,,,,
